廠家類別,品牌廠家,總公司電話,承辦電話,承辦窗口,地址,備註
超商,7-11,(02) 2747-8711 轉 2569,,商品引進與行銷提案（商品上架、廠商合作）,台灣110403台北市信義區東興路65號,辦公室在二樓
藥妝,康是美,02-2799-0560,02-7735-2818,加入商品供應商／行銷異業合作；供應商服務平台,台北市松山區東興路8號7樓,官網客服分類可選「加入商品供應商」或「行銷異業合作」
藥妝,大樹藥局,03-433-3123,03-433-3123 #9036,商品企劃部 陳小姐,330046 桃園市桃園區復興路186號18樓,門市商品 gtcm@greattree.com.tw；電商商品 gtem@greattree.com.tw
藥妝,屈臣氏,02-2742-1234,+852 2606 8833,供應商申請／商品上架提案,台北市松山區八德路四段760號11樓之1之2、14樓,供應商申請表單；newsupplier@aswatson.com
醫療用品／藥妝,杏一醫療,03-397-0761,03-397-0761 #773,廠商合作新品提案／商品採購,桃園市龜山區復興一路361號5樓,官網有「廠商合作新品提案」頁面
美妝／生活百貨,寶雅 POYA,06-241-1000,,商品處／採購,台南市中西區民族路三段74號,總機請轉商品處或採購窗口
藥妝,日藥本舖,02-2555-9918,,採購／商品合作,台北市大同區南京西路46號2樓,商品上架可請總機轉採購窗口
藥妝,Tomod’s 三友藥妝,02-2503-1111,02-2503-1111,採購／商品合作,台北市中山區建國北路二段145號15樓,請轉採購或業務合作窗口
美妝電商,小三美日,04-777-1168,,合作詢價表單／客服,彰化縣鹿港鎮海浴路392號,客服信箱 service@s3.com.tw；LINE @txm4322a
美妝電商,86小舖,09-7293-3119,,合作詢價表單／李珺,台北市大安區大安路一段52巷12號,ca@86shop.com.tw；公開資訊較舊，建議先用表單確認
