日期,時段,車流量,方向A,方向B
2026-07-03,00:00-00:59,0,0,0
2026-07-03,01:00-01:59,0,0,0
2026-07-03,02:00-02:59,0,0,0
2026-07-03,03:00-03:59,0,0,0
2026-07-03,04:00-04:59,0,0,0
2026-07-03,05:00-05:59,0,0,0
2026-07-03,06:00-06:59,0,0,0
2026-07-03,07:00-07:59,9,3,6
2026-07-03,08:00-08:59,16,5,11
2026-07-03,09:00-09:59,0,0,0
2026-07-03,10:00-10:59,0,0,0
2026-07-03,11:00-11:59,0,0,0
2026-07-03,12:00-12:59,7,2,5
2026-07-03,13:00-13:59,0,0,0
2026-07-03,14:00-14:59,0,0,0
2026-07-03,15:00-15:59,0,0,0
2026-07-03,16:00-16:59,0,0,0
2026-07-03,17:00-17:59,19,6,13
2026-07-03,18:00-18:59,16,5,11
2026-07-03,19:00-19:59,0,0,0
2026-07-03,20:00-20:59,0,0,0
2026-07-03,21:00-21:59,0,0,0
2026-07-03,22:00-22:59,0,0,0
2026-07-03,23:00-23:59,0,0,0
2026-07-03,全日總計,67,21,46
2026-07-04,00:00-00:59,0,0,0
2026-07-04,01:00-01:59,0,0,0
2026-07-04,02:00-02:59,0,0,0
2026-07-04,03:00-03:59,0,0,0
2026-07-04,04:00-04:59,0,0,0
2026-07-04,05:00-05:59,0,0,0
2026-07-04,06:00-06:59,0,0,0
2026-07-04,07:00-07:59,0,0,0
2026-07-04,08:00-08:59,7,2,5
2026-07-04,09:00-09:59,19,6,13
2026-07-04,10:00-10:59,0,0,0
2026-07-04,11:00-11:59,0,0,0
2026-07-04,12:00-12:59,0,0,0
2026-07-04,13:00-13:59,0,0,0
2026-07-04,14:00-14:59,0,0,0
2026-07-04,15:00-15:59,0,0,0
2026-07-04,16:00-16:59,0,0,0
2026-07-04,17:00-17:59,9,3,6
2026-07-04,18:00-18:59,0,0,0
2026-07-04,19:00-19:59,0,0,0
2026-07-04,20:00-20:59,0,0,0
2026-07-04,21:00-21:59,0,0,0
2026-07-04,22:00-22:59,0,0,0
2026-07-04,23:00-23:59,0,0,0
2026-07-04,全日總計,35,11,24
